time,value
0.08112359046936035,839.0
0.18515229225158691,839.0
0.2843592166900635,840.0
0.3855729103088379,838.0
0.4866018295288086,838.0
0.5861039161682129,836.0
0.6857881546020508,831.0
0.787200927734375,819.0
0.8863716125488281,815.0
0.9871621131896973,814.0
1.093336820602417,811.0
1.1956872940063477,810.0
1.2894558906555176,802.0
1.3986005783081055,800.0
1.4990508556365967,796.0
1.5997743606567383,791.0
1.6997153759002686,764.0
1.8019208908081055,760.0
1.9024090766906738,755.0
2.004127264022827,751.0
2.1019983291625977,753.0
2.2062768936157227,750.0
2.306560516357422,748.0
2.407900810241699,751.0
2.508058547973633,749.0
2.608567953109741,752.0
2.7121126651763916,755.0
2.8131754398345947,758.0
2.9141104221343994,759.0
3.015127658843994,763.0
3.116107702255249,764.0
3.2166714668273926,760.0
3.316514730453491,762.0
3.416508674621582,767.0
3.514751434326172,770.0
3.617561101913452,773.0
3.719517946243286,780.0
3.8191044330596924,788.0
3.9195170402526855,795.0
4.017990589141846,803.0
4.123480796813965,819.0
4.2232513427734375,822.0
4.325743913650513,827.0
4.424878835678101,831.0
4.523722171783447,832.0
4.632106781005859,831.0
4.733079671859741,832.0
4.834088087081909,831.0
4.935099840164185,817.0
5.032444477081299,797.0
5.132719039916992,782.0
5.236507177352905,772.0
5.336739540100098,760.0
5.4365198612213135,754.0
5.541863203048706,753.0
5.642858505249023,750.0
5.744077920913696,751.0
5.844897031784058,751.0
5.94588828086853,750.0
6.042929649353027,751.0
6.1465301513671875,755.0
6.246528625488281,761.0
6.344426393508911,762.0
6.447431564331055,760.0
6.546528100967407,764.0
6.653063058853149,770.0
6.754089832305908,782.0
6.855153322219849,792.0
6.956053018569946,803.0
7.0565338134765625,814.0
7.156522512435913,821.0
7.254512786865234,824.0
7.356577396392822,829.0
7.461938381195068,832.0
7.556531190872192,835.0
7.6649041175842285,834.0
7.765384912490845,833.0
7.8650054931640625,835.0
7.966863393783569,823.0
8.066930055618286,800.0
8.1690993309021,780.0
8.26926302909851,768.0
8.36933708190918,758.0
8.46929121017456,755.0
8.566571712493896,751.0
8.667944431304932,749.0
8.774978399276733,751.0
8.876096725463867,750.0
8.97653579711914,753.0
9.076627254486084,756.0
9.178853750228882,758.0
9.280018329620361,759.0
9.380799293518066,765.0
9.481239795684814,765.0
9.583801507949829,767.0
9.68542194366455,769.0
9.786345481872559,774.0
9.8865327835083,780.0
9.986178874969482,783.0
10.086568355560303,792.0
10.190128326416016,795.0
10.290828704833984,798.0
10.38579511642456,797.0
10.486189842224121,798.0
10.588470697402954,789.0
10.695001125335693,775.0
10.79061245918274,769.0
10.896604776382446,764.0
10.998615264892578,759.0
11.09939193725586,756.0
11.199094772338867,754.0
11.300229787826538,754.0
11.399649143218994,754.0
11.504019260406494,755.0
11.599280595779419,761.0
11.706351280212402,764.0
11.807045936584473,765.0
11.906512260437012,767.0
12.006587266921997,768.0
12.106531381607056,771.0
12.206533908843994,775.0
12.306593656539917,779.0
12.407224893569946,786.0
12.507035255432129,792.0
12.614557027816772,796.0
12.716673851013184,798.0
12.81678819656372,798.0
12.91919755935669,786.0
13.0197012424469,774.0
13.114165544509888,765.0
13.216901779174805,763.0
13.323073148727417,762.0
13.423850536346436,761.0
13.524974584579468,758.0
13.625955820083618,760.0
13.72653079032898,759.0
13.828357219696045,758.0
13.929140329360962,761.0
14.02651834487915,764.0
14.132092952728271,767.0
14.232337474822998,766.0
14.333294153213501,768.0
14.433724403381348,771.0
14.53501272201538,775.0
14.635968923568726,776.0
14.734502077102661,778.0
14.837206840515137,781.0
14.936533212661743,783.0
15.03653073310852,785.0
15.137456178665161,787.0
15.239196062088013,790.0
15.34393048286438,792.0
15.444926500320435,793.0
15.546368837356567,792.0
15.646572589874268,788.0
15.746514081954956,780.0
15.846514225006104,775.0
15.949519157409668,769.0
16.046360969543457,765.0
16.147608995437622,766.0
16.254125833511353,765.0
16.35490393638611,763.0
16.454596042633057,765.0
16.556527853012085,765.0
16.65759587287903,764.0
16.756529331207275,765.0
16.859933853149414,769.0
16.961097240447998,775.0
17.06183958053589,772.0
17.16291379928589,773.0
17.26375699043274,775.0
17.363799333572388,775.0
17.465740203857422,777.0
17.56698775291443,780.0
17.666154623031616,783.0
17.767014265060425,790.0
17.865445375442505,798.0
17.966618537902832,802.0
18.068905353546143,799.0
18.174349308013916,796.0
18.274917602539062,796.0
18.375892877578735,795.0
18.4764347076416,791.0
18.57656741142273,775.0
18.676586389541626,767.0
18.776515007019043,762.0
18.87432622909546,763.0
18.9816415309906,762.0
19.08255362510681,761.0
19.184651136398315,762.0
19.28498911857605,762.0
19.385867834091187,770.0
19.486615657806396,769.0
19.587103843688965,774.0
19.69271159172058,772.0
19.791165351867676,773.0
19.886528730392456,778.0
19.987290859222412,782.0
20.09386682510376,783.0
20.19485640525818,786.0
20.29585361480713,788.0
20.39650845527649,788.0
20.496515035629272,789.0
20.5981388092041,788.0
20.697659969329834,782.0
20.80010151863098,776.0
20.902946949005127,771.0
21.00372815132141,767.0
21.104838132858276,767.0
21.2056884765625,763.0
21.305829524993896,762.0
21.40847134590149,760.0
21.506540775299072,764.0
21.60694122314453,771.0
21.706621170043945,770.0
21.80786919593811,767.0
21.906527042388916,768.0
22.014729261398315,771.0
22.114962816238403,773.0
22.215829372406006,777.0
22.316259384155273,778.0
22.417396783828735,781.0
22.517842531204224,783.0
22.616963624954224,783.0
22.71677803993225,786.0
22.82296085357666,787.0
22.923469066619873,777.0
23.023343801498413,772.0
23.12480640411377,767.0
23.224620819091797,765.0
23.32451629638672,766.0
23.424432516098022,761.0
23.526527166366577,761.0
23.625181913375854,762.0
23.731239080429077,766.0
23.83250856399536,768.0
23.93358016014099,768.0
24.034804105758667,771.0
24.135828733444214,770.0
24.236562252044678,773.0
24.336532831192017,778.0
24.439798593521118,784.0
24.540608644485474,785.0
24.64029049873352,787.0
24.7431001663208,791.0
24.84413766860962,792.0
24.944790840148926,795.0
25.045792818069458,794.0
25.146528959274292,787.0
25.246527433395386,779.0
25.348722219467163,774.0
25.44955825805664,767.0
25.550556182861328,765.0
25.65175151824951,763.0
25.752756357192993,764.0
25.85334300994873,763.0
25.954858779907227,761.0
26.055543661117554,764.0
26.156883239746094,768.0
26.25532817840576,768.0
26.356513261795044,770.0
26.455593585968018,772.0
26.55779194831848,774.0
26.65649676322937,773.0
26.756513595581055,775.0
26.86460566520691,780.0
26.965240478515625,783.0
27.065298795700073,789.0
27.165385961532593,790.0
27.266549825668335,796.0
27.367727041244507,794.0
27.46698546409607,795.0
27.56730890274048,791.0
27.6673583984375,780.0
27.77394938468933,775.0
27.874783039093018,770.0
27.976142406463623,765.0
28.076447248458862,763.0
28.17509126663208,764.0
28.275580167770386,764.0
28.375267267227173,761.0
28.481614351272583,763.0
28.58276653289795,769.0
28.68372654914856,770.0
28.78471040725708,771.0
28.885712146759033,773.0
28.986512899398804,775.0
29.086565017700195,779.0
29.185487508773804,783.0
29.290164709091187,787.0
29.388999223709106,791.0
29.49275302886963,796.0
29.593576669692993,795.0
29.694526195526123,799.0
29.794841527938843,794.0
29.89635133743286,786.0
29.99651265144348,779.0
30.097971439361572,774.0
30.198288917541504,769.0
30.300690174102783,767.0
30.39832854270935,767.0
30.497538089752197,766.0
30.60369634628296,766.0
30.69757342338562,765.0
30.797617435455322,768.0
30.906368494033813,773.0
31.006571292877197,773.0
31.108815908432007,774.0
31.2065327167511,776.0
31.308000802993774,776.0
31.406517267227173,778.0
31.506514310836792,781.0
31.6068058013916,785.0
31.71521234512329,785.0
31.81536316871643,787.0
31.917338848114014,790.0
32.01651382446289,790.0
32.11996364593506,787.0
32.21496033668518,779.0
32.31532335281372,777.0
32.422730684280396,773.0
32.523462533950806,768.0
32.62442898750305,768.0
32.72524905204773,764.0
32.82652401924133,770.0
32.924591064453125,775.0
33.02463126182556,775.0
33.13036561012268,776.0
33.2310791015625,776.0
33.33243203163147,781.0
33.43228554725647,783.0
33.53463959693909,789.0
33.635669231414795,790.0
33.73609185218811,791.0
33.83651256561279,795.0
33.933014154434204,795.0
34.038583755493164,798.0
34.139859437942505,796.0
34.24164342880249,793.0
34.340906620025635,798.0
34.443668603897095,802.0
34.54462289810181,806.0
34.6413676738739,805.0
34.746318101882935,801.0
34.84839391708374,798.0
34.95135283470154,802.0
35.050604581832886,789.0
35.15063190460205,773.0
35.25243282318115,766.0
35.353610038757324,765.0
35.45463299751282,765.0
35.55560040473938,763.0
35.65490794181824,764.0
35.75640368461609,766.0
35.857093811035156,770.0
35.959622383117676,772.0
36.06059765815735,775.0
36.16146802902222,781.0
36.26264691352844,783.0
36.36354994773865,784.0
36.46531963348389,788.0
36.565388202667236,791.0
36.6658616065979,795.0
36.76652979850769,801.0
36.86358118057251,804.0
36.963793992996216,805.0
37.07159376144409,807.0
37.173107624053955,809.0
37.27369666099548,809.0
37.37457609176636,812.0
37.47474527359009,815.0
37.57653498649597,821.0
37.670220613479614,822.0
37.776511669158936,820.0
37.87652087211609,815.0
37.98061227798462,815.0
38.08235955238342,817.0
38.18361258506775,815.0
38.28324294090271,819.0
38.3843560218811,815.0
38.485586166381836,814.0
38.58280110359192,795.0
38.68858361244202,781.0
38.788647413253784,781.0
38.89013600349426,775.0
38.99011445045471,762.0
39.089722633361816,761.0
39.19354486465454,759.0
39.29458737373352,758.0
39.395559549331665,755.0
39.49600863456726,758.0
39.5904438495636,759.0
39.69752264022827,763.0
39.799219846725464,768.0
39.896321296691895,767.0
39.998679399490356,775.0
40.09633421897888,781.0
40.204506397247314,787.0
40.29782223701477,792.0
40.4066321849823,798.0
40.50762343406677,800.0
40.602060317993164,804.0
40.70988988876343,805.0
40.80651879310608,804.0
40.90653395652771,802.0
41.01230454444885,799.0
41.11304259300232,783.0
41.21288180351257,774.0
41.314390420913696,768.0
41.41685152053833,767.0
41.51766037940979,765.0
41.61766028404236,763.0
41.71763062477112,762.0
41.816510915756226,762.0
41.922407388687134,762.0
42.023606061935425,764.0
42.124332904815674,768.0
42.225263357162476,770.0
42.3266327381134,773.0
42.425358057022095,782.0
42.526561975479126,787.0
42.62444996833801,793.0
42.72334289550781,798.0
42.83148646354675,801.0
42.932506799697876,802.0
43.033286809921265,803.0
43.132495641708374,805.0
43.23623299598694,807.0
43.336480140686035,810.0
43.43699550628662,810.0
43.53652048110962,811.0
43.63758635520935,811.0
43.74148154258728,815.0
43.84247708320618,815.0
43.94359087944031,815.0
44.03683376312256,815.0
44.14547395706177,815.0
44.245972633361816,817.0
44.346667528152466,815.0
44.44741201400757,819.0
44.548511266708374,817.0
44.647934913635254,817.0
44.748098611831665,817.0
44.848034620285034,817.0
44.94870924949646,818.0
45.05620789527893,818.0
45.1559796333313,819.0
45.256481885910034,817.0
45.35743975639343,817.0
45.45579552650452,818.0
45.5569965839386,818.0
45.656514406204224,819.0
45.75699305534363,819.0
45.85630965232849,820.0
45.9587299823761,820.0
46.06476926803589,820.0
46.165074586868286,818.0
46.26650595664978,820.0
46.366331577301025,820.0
46.46433687210083,822.0
46.5652813911438,821.0
46.67186522483826,820.0
46.77314114570618,820.0
46.87422752380371,821.0
46.97442269325256,822.0
47.075437784194946,820.0
47.17472290992737,822.0
47.27651119232178,822.0
47.37652778625488,823.0
47.48054623603821,820.0
47.57650661468506,821.0
47.682652711868286,820.0
47.78342080116272,821.0
47.884429693222046,796.0
47.985414266586304,773.0
48.08647632598877,764.0
48.18653416633606,760.0
48.29013395309448,768.0
48.39064645767212,775.0
48.491562604904175,786.0
48.59233045578003,798.0
48.693418741226196,807.0
48.79446053504944,811.0
48.888378858566284,787.0
48.995177268981934,769.0
49.09734892845154,765.0
49.199143409729004,760.0
49.29709076881409,763.0
49.39518618583679,772.0
49.49616742134094,775.0
49.59634971618652,789.0
49.69870734214783,801.0
49.79663443565369,808.0
49.905335664749146,815.0
50.006521701812744,798.0
50.10524892807007,776.0
50.206042766571045,767.0
50.306114196777344,764.0
50.405747413635254,763.0
50.50798511505127,767.0
50.61194157600403,778.0
50.71244549751282,792.0
50.814709186553955,804.0
50.916393995285034,812.0
51.01653218269348,819.0
51.11656904220581,810.0
51.216506242752075,778.0
51.316505908966064,764.0
51.41732048988342,762.0
51.51864266395569,762.0
51.62335252761841,763.0
51.724369049072266,772.0
51.825355052948,785.0
51.92636847496033,799.0
52.0286066532135,809.0
52.1265344619751,817.0
52.23019790649414,808.0
52.331552267074585,781.0
52.43271350860596,767.0
52.53339695930481,767.0
52.634344816207886,763.0
52.73537230491638,765.0
52.83645677566528,772.0
52.93705153465271,783.0
53.03752589225769,797.0
53.13938498497009,810.0
53.24032998085022,815.0
53.34138345718384,817.0
53.438963890075684,794.0
53.544320821762085,772.0
53.64077019691467,768.0
53.74504613876343,763.0
53.84679698944092,765.0
53.947256565093994,775.0
54.04500222206116,779.0
54.14575171470642,794.0
54.24735903739929,802.0
54.34573578834534,810.0
54.45327186584473,815.0
54.55399250984192,815.0
54.65534543991089,818.0
